local_id,guid,title,filename,uid,start_time,end_time,idle,uploaded,chunked
67,F0C6B568-6f93-4c4b-8af4-184dbe99f35a,Toggl Desktop,TogglDesktop,4426117,1573303306,1573303376,0,1,1
68,09010AE2-6f93-4c4b-8af4-184dbe99f35a,Telegram,Telegram,4426117,1573303476,1573303526,0,1,1
69,9122D96A-6f93-4c4b-8af4-184dbe99f35a,HackNews - Home,Safari,4426117,1573303626,1573303696,0,0,0
70,E52B43FA-6f93-4c4b-8af4-184dbe99f35a,Settings,Terminus,4426117,1573303796,1573303846,0,0,0
71,49A21096-6f93-4c4b-8af4-184dbe99f35a,Google,Safari,4426117,1573303946,1573304016,0,0,0
72,257F81B9-6f93-4c4b-8af4-184dbe99f35a,Twitter - Toggl,Safari,4426117,1573304116,1573304166,0,0,0
73,AB7A5017-6f93-4c4b-8af4-184dbe99f35a,How Google’s featured snippets work - Google Search Help,Safari,4426117,1573304266,1573304336,0,0,0
74,0C8F52FE-6f93-4c4b-8af4-184dbe99f35a,Toggl Github,Safari,4426117,1573304436,1573304486,0,0,0
75,B99F3D14-6f93-4c4b-8af4-184dbe99f35a,Facebook - Home,Safari,4426117,1573304586,1573304656,0,0,0
76,5B1664A7-6f93-4c4b-8af4-184dbe99f35a,Gmai - toggl.com,Safari,4426117,1573304756,1573304806,0,0,0
77,DAB133CC-6f93-4c4b-8af4-184dbe99f35a,Toggl Dashboard Timer,Safari,4426117,1573304906,1573304976,0,0,0
77,50C362F0-6f93-4c4b-8af4-184dbe99f35a,Toggl - Download page,Safari,4426117,1573305076,1573305126,0,0,0
78,BFA5DEC7-6f93-4c4b-8af4-184dbe99f35a,Gmai - toggl.com,Telegram,4426117,1573305376,1573305421,0,0,0
79,C4C9EBFE-6f93-4c4b-8af4-184dbe99f35a,Toggl - Download page,TogglDesktop,4426117,1573305526,1573305571,0,1,1
80,1EAA33F7-6f93-4c4b-8af4-184dbe99f35a,How Google’s featured snippets work - Google Search Help,Terminus,4426117,1573305696,1573305741,0,0,0
81,7FF38A8C-6f93-4c4b-8af4-184dbe99f35a,Toggl Github,Telegram,4426117,1573305846,1573305891,0,0,0
82,F966E99F-6f93-4c4b-8af4-184dbe99f35a,Settings,Telegram,4426117,1573306016,1573306061,0,0,0
83,12D0EE82-6f93-4c4b-8af4-184dbe99f35a,HackNews - Home,Terminus,4426117,1573306166,1573306211,0,0,0
84,46CDBC3D-6f93-4c4b-8af4-184dbe99f35a,Toggl Desktop,Safari,4426117,1573306336,1573306381,0,0,0
85,CF0BCFF0-6f93-4c4b-8af4-184dbe99f35a,Toggl Desktop,Telegram,4426117,1573306486,1573306531,0,0,0
86,0427102F-6f93-4c4b-8af4-184dbe99f35a,Toggl - Download page,Telegram,4426117,1573306656,1573306701,0,0,0
87,15ED37DA-6f93-4c4b-8af4-184dbe99f35a,Gmai - toggl.com,Terminus,4426117,1573306806,1573306851,0,0,0
88,7C7CCD37-6f93-4c4b-8af4-184dbe99f35a,Toggl Desktop,Telegram,4426117,1573306976,1573307021,0,0,0
89,8F332249-6f93-4c4b-8af4-184dbe99f35a,Toggl Desktop,Terminus,4426117,1573307126,1573307171,0,0,0
90,A9F88165-6f93-4c4b-8af4-184dbe99f35a,Toggl - Download page,Safari,4426117,1573307421,1573307466,0,0,0
91,FD8BA716-6f93-4c4b-8af4-184dbe99f35a,Toggl Desktop,TogglDesktop,4426117,1573307571,1573307616,0,0,0
92,EF982104-6f93-4c4b-8af4-184dbe99f35a,Twitter - Toggl,Safari,4426117,1573307741,1573307786,0,0,0
93,A8BB262F-6f93-4c4b-8af4-184dbe99f35a,Gmai - toggl.com,Terminus,4426117,1573307891,1573307936,0,0,0
